Experiment,ARIMA_Order,LSTM_Units,ARIMA_MAE,Hybrid_MAE,Improvement_%
Exp_1_ARIMA211_LSTM32_seq30,"(2, 1, 1)",[32],0.3499603156496824,0.3511223145449382,-0.33203733203252583
Exp_2_ARIMA311_LSTM64_seq60,"(3, 1, 1)",[64],0.35030938223302827,0.3508579976717103,-0.15660883393556008
Exp_3_ARIMA511_LSTM128_seq90,"(5, 1, 1)",[128],0.35015098241151243,0.3502004024138244,-0.014113912224832813
Exp_4_ARIMA310_LSTM64_32_seq60,"(3, 1, 0)","[64, 32]",0.3503195322551401,0.35044811627468037,-0.03670478169244552
Exp_5_ARIMA312_LSTM128_64_seq90,"(3, 1, 2)","[128, 64]",0.3498319081863231,0.3507067160937538,-0.2500652133094703
Exp_6_SARIMA_LSTM64_seq60,"(1, 1, 1)",[64],0.28375426642685553,0.28461110729250727,-0.3019658088110593
Exp_7_SARIMA_LSTM96_48_seq60,"(1, 1, 1)","[96, 48]",0.28375426642685553,0.28413943854830065,-0.13574143793337756
Exp_8_ARIMA712_LSTM128_64_32_seq90,"(7, 1, 2)","[128, 64, 32]",0.34841475651255094,0.34887444152825753,-0.13193614998049916
Exp_9_ARIMA311_LSTM100_50_seq60_optimized,"(3, 1, 1)","[100, 50]",0.35030938223302827,0.3507841676129681,-0.13553316126257914
Exp_10_SARIMA_LSTM80_40_seq45_optimized,"(2, 1, 1)","[80, 40]",0.2851403975291576,0.2864272131149232,-0.45129192387901246
