Rank,Experiment,Hybrid_MAE,ARIMA_MAE,Improvement_%
1,Exp_7_SARIMA_LSTM96_48_seq60,0.28413943854830065,0.28375426642685553,-0.13574143793337756
2,Exp_6_SARIMA_LSTM64_seq60,0.28461110729250727,0.28375426642685553,-0.3019658088110593
3,Exp_10_SARIMA_LSTM80_40_seq45_optimized,0.2864272131149232,0.2851403975291576,-0.45129192387901246
4,Exp_8_ARIMA712_LSTM128_64_32_seq90,0.34887444152825753,0.34841475651255094,-0.13193614998049916
5,Exp_3_ARIMA511_LSTM128_seq90,0.3502004024138244,0.35015098241151243,-0.014113912224832813
6,Exp_4_ARIMA310_LSTM64_32_seq60,0.35044811627468037,0.3503195322551401,-0.03670478169244552
7,Exp_5_ARIMA312_LSTM128_64_seq90,0.3507067160937538,0.3498319081863231,-0.2500652133094703
8,Exp_9_ARIMA311_LSTM100_50_seq60_optimized,0.3507841676129681,0.35030938223302827,-0.13553316126257914
9,Exp_2_ARIMA311_LSTM64_seq60,0.3508579976717103,0.35030938223302827,-0.15660883393556008
10,Exp_1_ARIMA211_LSTM32_seq30,0.3511223145449382,0.3499603156496824,-0.33203733203252583
