model,feature_set,algorithm,accuracy,precision,recall,f1
sentiment_only_gradientboosting,sentiment_only,gradientboosting,0.5760869565217391,0.5512820512820513,0.9148936170212766,0.688
combined_gradientboosting,combined,gradientboosting,0.5543478260869565,0.5357142857142857,0.9574468085106383,0.6870229007633588
sentiment_only_xgboost,sentiment_only,xgboost,0.5543478260869565,0.5375,0.9148936170212766,0.6771653543307087
sentiment_only_svm_rbf,sentiment_only,svm_rbf,0.5760869565217391,0.5571428571428572,0.8297872340425532,0.6666666666666666
combined_mlp,combined,mlp,0.532608695652174,0.525,0.8936170212765957,0.6614173228346457
technical_only_gradientboosting,technical_only,gradientboosting,0.5,0.5057471264367817,0.9361702127659575,0.6567164179104478
combined_logistic,combined,logistic,0.532608695652174,0.5263157894736842,0.851063829787234,0.6504065040650406
combined_xgboost,combined,xgboost,0.5434782608695652,0.5342465753424658,0.8297872340425532,0.65
technical_only_logistic,technical_only,logistic,0.5217391304347826,0.5194805194805194,0.851063829787234,0.6451612903225806
technical_only_mlp,technical_only,mlp,0.5434782608695652,0.5362318840579711,0.7872340425531915,0.6379310344827587
combined_svm_linear,combined,svm_linear,0.5217391304347826,0.5205479452054794,0.8085106382978723,0.6333333333333333
technical_only_svm_linear,technical_only,svm_linear,0.5217391304347826,0.5217391304347826,0.7659574468085106,0.6206896551724138
technical_only_random_forest,technical_only,random_forest,0.44565217391304346,0.47058823529411764,0.6808510638297872,0.5565217391304348
combined_random_forest,combined,random_forest,0.44565217391304346,0.46875,0.6382978723404256,0.5405405405405406
technical_only_xgboost,technical_only,xgboost,0.5,0.5102040816326531,0.5319148936170213,0.5208333333333334
combined_svm_rbf,combined,svm_rbf,0.391304347826087,0.42105263157894735,0.5106382978723404,0.46153846153846156
technical_only_svm_rbf,technical_only,svm_rbf,0.391304347826087,0.40425531914893614,0.40425531914893614,0.40425531914893614
sentiment_only_logistic,sentiment_only,logistic,0.44565217391304346,0.3888888888888889,0.14893617021276595,0.2153846153846154
sentiment_only_mlp,sentiment_only,mlp,0.4782608695652174,0.4444444444444444,0.0851063829787234,0.14285714285714285
sentiment_only_svm_linear,sentiment_only,svm_linear,0.4891304347826087,0.5,0.06382978723404255,0.11320754716981132
sentiment_only_random_forest,sentiment_only,random_forest,0.4891304347826087,0.0,0.0,0.0
